price,price_per_sm,date_added,number_of_rooms,area,floor_on,floors_total,district,street
290,6.74,2021-03-16 14:46:48.179705,1,43.0,9,12,Fabijoniškės, Salomėjos Nėries g.
280,8.48,2021-03-16 14:46:48.179705,1,33.0,6,9,Karoliniškės, Virginijaus Druskio g.
360,10.59,2021-03-16 14:46:48.179705,1,34.0,1,3,Senamiestis, Trakų g.
300,17.78,2021-03-16 14:46:48.179705,1,16.87,3,5,Naujamiestis, Tauro g.
310,18.38,2021-03-08 14:46:48.179705,1,16.87,3,5,Senamiestis, Tauro g.
400,7.52,2021-03-16 14:46:48.179705,2,53.18,2,8,Šiaurės miestelis, Žygio g.
190,7.31,2021-03-16 14:46:48.179705,1,26.0,2,2,Naujamiestis, Švitrigailos g.
360,18.0,2021-03-16 14:46:48.179705,1,20.0,1,4,Senamiestis, J. Basanavičiaus g.
100,8.33,2021-03-16 14:46:48.179705,1,12.0,1,4,Naujamiestis, Raseinių g.
260,13.0,2021-03-16 14:46:48.179705,1,20.0,2,3,Senamiestis, Žemaitijos g.
380,8.54,2021-03-16 14:46:48.179705,2,44.5,4,5,Žirmūnai, Apkasų g.
350,14.0,2021-03-16 14:46:48.179705,1,25.0,1,5,Naujamiestis, S. Konarskio g.
310,5.85,2021-03-16 14:46:48.179705,2,53.0,4,5,Antakalnis, Volungės g.
350,8.75,2021-03-16 14:46:48.179705,2,40.0,1,5,Šeškinė, Gelvonų g.
390,7.65,2021-03-16 14:46:48.179705,2,51.0,3,5,Baltupiai, Didlaukio g.
399,14.1,2021-03-16 14:46:48.179705,1,28.3,5,5,Pašilaičiai, Budiniškių g.
350,14.0,2021-03-16 14:46:48.179705,1,25.0,4,4,Naujamiestis, Panerių g.
215,10.75,2021-03-16 14:46:48.179705,1,20.0,5,5,Žirmūnai, Žirmūnų g.
380,11.52,2021-03-16 14:46:48.179705,1,33.0,3,4,Senamiestis, Rūdninkų g.
345,13.8,2021-03-16 14:46:48.179705,1,25.0,4,4,Naujamiestis, Panerių g.
300,8.57,2021-03-15 14:46:48.179705,1,35.0,3,5,Fabijoniškės, S. Stanevičiaus g.
400,13.33,2021-03-15 14:46:48.179705,1,30.0,6,6,Žirmūnai, Piromonto g.
340,9.44,2021-03-15 14:46:48.179705,1,36.0,3,6,Vilkpėdė, Vilkpėdės g.
400,11.43,2021-03-15 14:46:48.179705,2,35.0,1,4,Naujamiestis, Kauno g.
380,11.18,2021-03-15 14:46:48.179705,1,34.0,2,5,Rasos, Tyzenhauzų g.
350,10.0,2021-03-15 14:46:48.179705,1,35.0,1,3,Vilkpėdė, Burbiškių g.
340,11.33,2021-03-15 14:46:48.179705,2,30.0,4,4,Bajorai, Bajorų kel.
400,12.5,2021-03-15 14:46:48.179705,1,32.0,4,5,Šnipiškės, Linkmenų g.
350,12.96,2021-03-15 14:46:48.179705,2,27.0,4,4,Naujamiestis, Kauno g.
130,9.29,2021-03-15 14:46:48.179705,1,14.0,3,9,Šeškinė, Gelvonų g.
170,9.44,2021-03-15 14:46:48.179705,1,18.0,4,4,Lazdynėliai, Šiltnamių g.
350,11.67,2021-03-15 14:46:48.179705,1,30.0,2,2,Šnipiškės, Šilutės g.
100,7.14,2021-03-15 14:46:48.179705,1,14.0,6,9,Fabijoniškės, S. Stanevičiaus g.
250,10.0,2021-03-15 14:46:48.179705,1,25.0,1,5,Antakalnis, V. Grybo g.
400,8.51,2021-03-15 14:46:48.179705,2,47.0,4,5,Lazdynai, Žėručio g.
300,12.0,2021-03-15 14:46:48.179705,1,25.0,2,2,Užupis, Baltasis skg.
390,8.86,2021-03-15 14:46:48.179705,1,44.0,7,7,Šiaurės miestelis, Žygio g.
239,10.39,2021-03-15 14:46:48.179705,1,23.0,7,9,Žirmūnai, Žirmūnų g.
240,10.91,2021-02-28 14:46:48.179705,1,22.0,7,9,Žirmūnai, Žirmūnų g.
340,11.33,2021-03-15 14:46:48.179705,1,30.0,1,5,Antakalnis, Tverečiaus g.
340,8.95,2021-03-15 14:46:48.179705,1,38.0,10,12,Žirmūnai, Žirmūnų g.
220,12.22,2021-03-15 14:46:48.179705,1,18.0,3,5,Žvėrynas, Birutės g.
280,15.56,2021-03-15 14:46:48.179705,1,18.0,4,5,Senamiestis, Algirdo g.
260,11.3,2021-03-15 14:46:48.179705,1,23.0,4,9,Žirmūnai, Žirmūnų g.
260,11.82,2021-03-07 14:46:48.179705,1,22.0,4,9,Žirmūnai, Žirmūnų g.
250,13.08,2021-03-15 14:46:48.179705,1,19.11,2,5,Naujininkai, Pelesos g.
130,2.6,2021-03-15 14:46:48.179705,1,50.0,3,3,Antakalnis, Filaretų g.
230,12.78,2021-03-15 14:46:48.179705,1,18.0,2,4,Šiaurės miestelis, Kareivių g.
230,12.78,2021-03-10 14:46:48.179705,1,18.0,2,5,Žirmūnai, Kareivių g.
140,7.78,2021-03-15 14:46:48.179705,1,18.0,4,5,Antakalnis, Žolyno g.
390,11.82,2021-03-15 14:46:48.179705,2,33.0,1,2,Senamiestis, Kruopų g.
300,14.29,2021-03-15 14:46:48.179705,1,21.0,1,9,Antakalnis, Antakalnio g.
300,15.0,2021-03-15 14:46:48.179705,1,20.0,2,4,Naujamiestis, Panerių g.
300,15.0,2021-03-07 14:46:48.179705,1,20.0,2,4,Naujamiestis, Panerių g.
330,17.37,2021-02-23 14:46:48.179705,1,19.0,2,4,Naujamiestis, Panerių g.
350,6.86,2021-03-14 14:46:48.179705,2,51.0,8,9,Justiniškės, Taikos g.
250,7.14,2021-03-14 14:46:48.179705,1,35.0,5,5,Šeškinė, Laisvės pr.
400,11.76,2021-03-14 14:46:48.179705,2,34.0,1,5,Karoliniškės, Vido Maciulevičiaus g.
360,9.23,2021-03-14 14:46:48.179705,1,39.0,3,9,Pašilaičiai, Perkūnkiemio g.
380,10.56,2021-03-14 14:46:48.179705,2,36.0,9,9,Pašilaičiai, Eitminų g.
220,7.86,2021-03-14 14:46:48.179705,1,28.0,7,9,Naujamiestis, Savanorių pr.
150,10.0,2021-03-13 14:46:48.179705,1,15.0,16,17,Fabijoniškės, Fabijoniškių g.
380,12.26,2021-03-13 14:46:48.179705,1,31.0,5,5,Šnipiškės, Kazio Ulvydo g.
380,12.26,2021-03-13 14:46:48.179705,1,31.0,5,5,Baltupiai, Kazio Ulvydo g.
160,10.67,2021-03-13 14:46:48.179705,1,15.0,16,17,Fabijoniškės, S. Stanevičiaus g.
400,19.05,2021-03-13 14:46:48.179705,1,21.0,1,9,Šnipiškės, Kalvarijų g.
350,7.78,2021-03-13 14:46:48.179705,1,45.0,3,4,Antakalnis, M. K. Paco g.
350,7.45,2021-03-13 14:46:48.179705,2,47.0,3,5,Baltupiai, Didlaukio g.
390,6.19,2021-03-12 14:46:48.179705,3,63.0,3,12,Karoliniškės, Loretos Asanavičiūtės g.
360,11.25,2021-03-12 14:46:48.179705,1,32.0,6,9,Viršuliškės, Viršuliškių g.
400,8.0,2021-03-12 14:46:48.179705,2,50.0,3,5,Antakalnis, Antakalnio g.
400,8.0,2021-03-17 14:46:48.179705,2,50.0,3,5,Antakalnis, Antakalnio g.
400,8.0,2021-03-09 14:46:48.179705,2,50.0,3,5,Antakalnis, Antakalnio g.
250,12.5,2021-03-12 14:46:48.179705,1,20.0,1,5,Naujamiestis, Skroblų g.
140,7.37,2021-03-12 14:46:48.179705,1,19.0,4,5,Antakalnis, Žolyno g.
380,8.44,2021-03-12 14:46:48.179705,2,45.0,1,9,Fabijoniškės, Salomėjos Nėries g.
390,7.96,2021-03-12 14:46:48.179705,2,49.0,3,4,Antakalnis, Antakalnio g.
320,8.21,2021-03-12 14:46:48.179705,1,39.0,5,5,Pilaitė, Karaliaučiaus g.
290,8.29,2021-03-12 14:46:48.179705,1,35.0,5,9,Naujininkai, Dzūkų g.
400,8.0,2021-03-12 14:46:48.179705,2,50.0,5,5,Žirmūnai, Žirmūnų g.
300,8.33,2021-03-12 14:46:48.179705,2,36.0,3,5,Antakalnis, Antakalnio g.
300,8.33,2021-03-10 14:46:48.179705,2,36.0,3,5,Antakalnis, Antakalnio g.
330,8.05,2021-03-11 14:46:48.179705,1,41.0,3,4,Jeruzalė, Mykolo Marcinkevičiaus g.
400,13.33,2021-03-11 14:46:48.179705,1,30.0,1,2,Senamiestis, Bernardinų g.
400,8.51,2021-03-11 14:46:48.179705,2,47.0,3,5,Lazdynai, Architektų g.
400,11.76,2021-03-11 14:46:48.179705,2,34.0,3,9,Pašilaičiai, Leičių g.
350,9.46,2021-03-11 14:46:48.179705,2,37.0,2,9,Pilaitė, I. Kanto al.
400,8.71,2021-03-11 14:46:48.179705,2,45.95,6,9,Antakalnis, Antakalnio g.
380,12.67,2021-03-11 14:46:48.179705,1,30.0,2,9,Šeškinė, Siesikų g.
340,10.63,2021-03-11 14:46:48.179705,1,32.0,2,2,Žvėrynas, Pušų g.
400,13.33,2021-03-11 14:46:48.179705,1,30.0,1,4,Senamiestis, Bernardinų g.
300,8.57,2021-03-10 14:46:48.179705,1,35.0,2,5,Naujamiestis, S. Konarskio g.
270,10.8,2021-03-10 14:46:48.179705,1,25.0,3,5,Žvėrynas, Studentų g.
350,9.72,2021-03-10 14:46:48.179705,1,36.0,1,5,Šeškinė, Čiobiškio g.
350,7.14,2021-03-10 14:46:48.179705,2,49.0,2,5,Lazdynai, Architektų g.
290,9.93,2021-03-10 14:46:48.179705,1,29.19,2,5,Jeruzalė, Jono Kairiūkščio g.
290,9.93,2021-03-22 10:46:48.179705,1,29.19,2,5,Visoriai, Jono Kairiūkščio g.
290,9.93,2021-03-22 09:46:48.179705,1,29.19,2,5,Santariškės, Jono Kairiūkščio g.
290,9.93,2021-03-22 09:46:48.179705,1,29.19,2,5,Jeruzalė, Jono Kairiūkščio g.
290,9.93,2021-03-10 14:46:48.179705,1,29.19,2,5,Santariškės, Jono Kairiūkščio g.
290,9.93,2021-03-10 14:46:48.179705,1,29.19,2,5,Visoriai, Jono Kairiūkščio g.
350,10.61,2021-03-10 14:46:48.179705,1,33.0,3,5,Lazdynai, Architektų g.
280,11.2,2021-03-10 14:46:48.179705,1,25.0,3,9,Antakalnis, Antakalnio g.
350,11.67,2021-03-10 14:46:48.179705,1,30.0,4,9,Pilaitė, Nidos g.
250,8.74,2021-03-10 14:46:48.179705,1,28.6,1,2,Naujamiestis, Naugarduko g.
299,7.48,2021-03-10 14:46:48.179705,2,40.0,3,5,Antakalnis, Antakalnio g.
160,5.33,2021-03-10 14:46:48.179705,1,30.0,2,2,Antakalnis, Vismaliukų Sodų 4-oji g.
350,10.94,2021-03-10 14:46:48.179705,1,32.0,4,9,Pilaitė, Nidos g.
260,13.0,2021-03-10 14:46:48.179705,1,20.0,2,3,Senamiestis, Vytenio g.
300,8.33,2021-03-10 14:46:48.179705,1,36.0,5,5,Grigiškės, Šviesos g.
300,8.33,2021-03-10 14:46:48.179705,2,36.0,3,5,Antakalnis, Antakalnio g.
400,11.43,2021-03-10 14:46:48.179705,1,35.0,2,6,Užupis, Manufaktūrų g.
370,7.4,2021-03-10 14:46:48.179705,2,50.0,7,12,Fabijoniškės, Salomėjos Nėries g.
350,11.67,2021-03-10 14:46:48.179705,1,30.0,9,9,Naujamiestis, Savanorių pr.
360,12.0,2021-03-10 14:46:48.179705,1,30.0,6,9,Viršuliškės, Viršuliškių g.
300,7.32,2021-03-09 14:46:48.179705,1,41.0,2,5,Senamiestis, Subačiaus g.
350,11.67,2021-03-09 14:46:48.179705,1,30.0,4,9,Pilaitė, Nidos g.
100,6.25,2021-03-09 14:46:48.179705,1,16.0,1,5,Lazdynai, Architektų g.
300,9.09,2021-03-09 14:46:48.179705,1,33.0,5,7,Žirmūnai, Rinktinės g.
400,8.16,2021-03-09 14:46:48.179705,2,49.0,5,5,Pilaitė, Karaliaučiaus g.
395,9.4,2021-03-09 14:46:48.179705,1,42.0,1,4,Naujininkai, Telšių g.
300,6.52,2021-03-09 14:46:48.179705,2,46.0,1,5,Žirmūnai, Žirmūnų g.
320,6.51,2021-03-09 14:46:48.179705,2,49.15,3,9,Viršuliškės, Justiniškių g.
360,12.0,2021-03-09 14:46:48.179705,1,30.0,6,6,Pilaitė, Priegliaus g.
400,8.0,2021-03-09 14:46:48.179705,2,50.0,3,5,Antakalnis, Antakalnio g.
300,6.0,2021-03-09 14:46:48.179705,2,50.0,3,5,Naujoji Vilnia, Parko g.
100,7.69,2021-03-09 14:46:48.179705,1,13.0,2,3,Pašilaičiai, Pašilaičių g.
140,6.09,2021-03-09 14:46:48.179705,1,23.0,2,2,Fabijoniškės, Jono Glaubico g.
320,6.4,2021-03-09 14:46:48.179705,2,50.0,3,5,Šeškinė, Musninkų g.
350,9.46,2021-03-08 14:46:48.179705,2,37.0,5,5,Naujoji Vilnia, Gerovės g.
390,11.82,2021-03-08 14:46:48.179705,2,33.0,1,2,Senamiestis, Kruopų g.
390,11.82,2021-03-15 14:46:48.179705,2,33.0,1,2,Senamiestis, Kruopų g.
340,7.91,2021-03-08 14:46:48.179705,2,43.0,9,11,Fabijoniškės, Salomėjos Nėries g.
290,8.06,2021-03-08 14:46:48.179705,1,36.0,3,4,Pilaitė, Tolminkiemio g.
250,9.62,2021-03-08 14:46:48.179705,1,26.0,4,6,Jeruzalė, Ateities g.
250,10.0,2021-03-02 14:46:48.179705,1,25.0,4,6,Fabijoniškės, Ateities g.
130,7.22,2021-03-08 14:46:48.179705,1,18.0,4,5,Šnipiškės, Kalvarijų g.
110,7.86,2021-03-08 14:46:48.179705,1,14.0,3,9,Justiniškės, Taikos g.
200,11.11,2021-03-08 14:46:48.179705,1,18.0,3,5,Senamiestis, Bokšto g.
400,10.81,2021-03-08 14:46:48.179705,1,37.0,5,5,Senamiestis, Šv. Stepono g.
200,16.67,2021-03-08 14:46:48.179705,1,12.0,4,5,Markučiai, Subačiaus g.
120,10.0,2021-03-08 14:46:48.179705,1,12.0,1,9,Fabijoniškės, S. Stanevičiaus g.
250,17.86,2021-03-08 14:46:48.179705,1,14.0,2,4,Naujamiestis, Gynėjų g.
250,17.86,2021-03-08 14:46:48.179705,1,14.0,2,4,Senamiestis, Gynėjų g.
250,14.71,2021-03-08 14:46:48.179705,1,17.0,2,5,Šnipiškės, Giedraičių g.
380,13.1,2021-03-08 14:46:48.179705,1,29.0,5,9,Baltupiai, Juozo Balčikonio g.
290,8.24,2021-03-08 14:46:48.179705,1,35.18,4,5,Šeškinė, Gelvonų g.
250,12.5,2021-03-07 14:46:48.179705,1,20.0,5,5,Šnipiškės, Ratnyčios g.
400,12.5,2021-03-07 14:46:48.179705,1,32.0,1,3,Naujamiestis, Z. Sierakausko g.
380,6.79,2021-03-06 14:46:48.179705,2,56.0,2,10,Šnipiškės, Kalvarijų g.
250,1.67,2021-03-06 14:46:48.179705,1,150.0,1,1,Senamiestis, Karmelitų g.
260,6.19,2021-03-06 14:46:48.179705,1,42.0,1,5,Naujoji Vilnia, Linksmoji g.
280,10.77,2021-03-06 14:46:48.179705,1,26.0,2,5,Naujamiestis, Skroblų g.
360,7.2,2021-03-06 14:46:48.179705,2,50.0,3,12,Šeškinė, Čiobiškio g.
200,6.06,2021-03-05 14:46:48.179705,1,33.0,9,9,Žirmūnai, Rinktinės g.
350,10.29,2021-03-05 14:46:48.179705,1,34.0,3,5,Lazdynai, Architektų g.
220,11.0,2021-03-05 14:46:48.179705,1,20.0,0,5,Antakalnis, Žolyno g.
120,6.67,2021-03-05 14:46:48.179705,1,18.0,4,7,Naujoji Vilnia, Pramonės g.
300,5.77,2021-03-05 14:46:48.179705,2,52.0,3,5,Grigiškės, Kovo 11-osios g.
350,10.0,2021-03-05 14:46:48.179705,1,35.0,3,5,Lazdynai, Architektų g.
400,16.67,2021-03-05 14:46:48.179705,2,24.0,2,3,Senamiestis, Tilto g.
215,13.44,2021-03-05 14:46:48.179705,1,16.0,3,5,Senamiestis, Tauro g.
120,8.0,2021-03-05 14:46:48.179705,1,15.0,4,5,Lazdynai, Architektų g.
350,10.0,2021-03-05 14:46:48.179705,1,35.0,1,9,Žirmūnai, Minties g.
150,8.33,2021-03-05 14:46:48.179705,1,18.0,2,5,Baltupiai, Didlaukio g.
380,8.44,2021-03-04 14:46:48.179705,2,45.0,4,5,Žirmūnai, Žirmūnų g.
399,16.63,2021-03-04 14:46:48.179705,1,24.0,3,5,Šnipiškės, Juozo Balčikonio g.
361,17.19,2021-03-04 14:46:48.179705,1,21.0,3,5,Šnipiškės, Juozo Balčikonio g.
333,17.53,2021-03-04 14:46:48.179705,1,19.0,3,5,Šnipiškės, Juozo Balčikonio g.
380,8.23,2021-03-04 14:46:48.179705,2,46.18,2,5,Antakalnis, Pauliaus Širvio g.
320,11.03,2021-03-04 14:46:48.179705,1,29.0,5,5,Žirmūnai, Žirmūnų g.
110,11.0,2021-03-04 14:46:48.179705,1,10.0,7,9,Fabijoniškės, S. Stanevičiaus g.
330,8.92,2021-03-04 14:46:48.179705,2,37.0,3,5,Antakalnis, Antakalnio g.
230,14.38,2021-03-04 14:46:48.179705,1,16.0,2,5,Žirmūnai, Kareivių g.
230,12.11,2021-03-04 14:46:48.179705,1,19.0,2,5,Žirmūnai, Kareivių g.
230,12.11,2021-03-03 14:46:48.179705,1,19.0,2,5,Žirmūnai, Kareivių g.
399,7.92,2021-03-04 14:46:48.179705,2,50.4,6,12,Fabijoniškės, Salomėjos Nėries g.
400,8.16,2021-03-04 14:46:48.179705,2,49.0,1,12,Baltupiai, Didlaukio g.
250,12.5,2021-03-04 14:46:48.179705,1,20.0,3,5,Naujamiestis, Tauro g.
385,6.31,2021-03-04 14:46:48.179705,2,61.0,5,6,Justiniškės, Justiniškių g.
350,7.29,2021-03-04 14:46:48.179705,2,48.0,4,5,Žirmūnai, Žirmūnų g.
220,13.75,2021-03-03 14:46:48.179705,1,16.0,1,3,Senamiestis, Subačiaus g.
380,10.86,2021-03-03 14:46:48.179705,1,35.0,6,7,Naujamiestis, Smolensko g.
380,8.84,2021-03-03 14:46:48.179705,1,43.0,2,6,Pašilaičiai, Sviliškių g.
400,7.27,2021-03-03 14:46:48.179705,2,55.0,3,5,Pilaitė, Karaliaučiaus g.
350,8.75,2021-03-03 14:46:48.179705,1,40.0,2,9,Pašilaičiai, Perkūnkiemio g.
110,6.11,2021-03-03 14:46:48.179705,1,18.0,2,5,Fabijoniškės, S. Stanevičiaus g.
350,11.67,2021-03-03 14:46:48.179705,1,30.0,4,5,Naujoji Vilnia, Genių g.
370,17.62,2021-03-03 14:46:48.179705,2,21.0,2,3,Senamiestis, Tilto g.
300,9.38,2021-03-03 14:46:48.179705,1,32.0,7,9,Karoliniškės, Dariaus Gerbutavičiaus g.
390,15.89,2021-03-03 14:46:48.179705,1,24.55,4,4,Senamiestis, Bokšto g.
390,15.89,2021-03-01 14:46:48.179705,1,24.55,4,4,Naujamiestis, Bokšto g.
345,19.17,2021-03-03 14:46:48.179705,1,18.0,4,4,Naujamiestis, Panerių g.
330,7.33,2021-03-03 14:46:48.179705,2,45.0,1,4,Antakalnis, Mildos g.
200,11.11,2021-03-03 14:46:48.179705,1,18.0,4,5,Antakalnis, Žolyno g.
130,8.67,2021-03-03 14:46:48.179705,1,15.0,5,9,Justiniškės, Taikos g.
300,10.38,2021-03-02 14:46:48.179705,1,28.9,4,4,Dvarčionys, Keramikų g.
300,15.0,2021-03-02 14:46:48.179705,1,20.0,4,5,Antakalnis, V. Grybo g.
400,7.46,2021-03-02 14:46:48.179705,2,53.59,2,9,Naujamiestis, K. Donelaičio g.
250,10.0,2021-03-02 14:46:48.179705,1,25.0,4,6,Fabijoniškės, Ateities g.
295,14.75,2021-03-02 14:46:48.179705,1,20.0,8,8,Naujamiestis, Panerių g.
330,10.31,2021-03-02 14:46:48.179705,1,32.0,5,7,Žvėrynas, Latvių g.
400,6.35,2021-03-02 14:46:48.179705,2,63.0,10,12,Fabijoniškės, Salomėjos Nėries g.
280,18.67,2021-03-02 14:46:48.179705,1,15.0,1,5,Naujamiestis, Aguonų g.
260,11.82,2021-03-02 14:46:48.179705,1,22.0,2,12,Žirmūnai, Verkių g.
380,7.6,2021-03-02 14:46:48.179705,2,50.0,3,5,Naujoji Vilnia, Linksmoji g.
150,6.82,2021-03-02 14:46:48.179705,1,22.0,3,5,Žvėrynas, Birutės g.
